frame,x,y,conf
0,1233.0427,298.09442,0.012586383149027824
4,338.2528,508.1787,0.00918824877589941
8,339.76022,507.7019,0.00834190659224987
12,1233.1394,297.21185,0.06892131268978119
16,1233.0951,297.1145,0.06923205405473709
20,1233.2024,297.0717,0.07131747156381607
24,1232.8799,297.2586,0.0855710506439209
28,1234.9288,294.04993,0.09362902492284775
32,317.748,503.86316,0.19277311861515045
36,1110.2712,241.75275,0.11581785976886749
40,823.44165,459.02646,0.003228087443858385
44,518.6811,359.2987,0.0011513287900015712
48,505.46805,573.8727,0.003236443269997835
52,516.60144,302.96356,0.00424908148124814
56,961.70197,515.4009,0.016397440806031227
60,1177.6995,509.9922,0.056462716311216354
64,1077.9978,94.31939,0.0012631833087652922
72,82.61643,350.79614,0.03001786768436432
76,408.91803,403.63977,0.0025132165756076574
80,786.5155,53.534286,0.020017733797430992
84,823.9112,641.8395,0.022137833759188652
88,445.06058,430.76477,0.008036547340452671
96,300.44818,335.24957,0.03528546914458275
100,447.39874,593.9712,0.0037730056792497635
108,486.61932,509.646,0.031040804460644722
112,862.35803,633.4925,0.013108267448842525
116,284.7246,301.13083,0.09271328896284103
120,531.2422,382.53302,0.00913499016314745
124,448.56375,483.08917,0.0011609828798100352
128,258.14508,483.4309,0.14844132959842682
132,353.12085,494.93494,0.0659329816699028
136,116.24039,279.22235,0.05287020280957222
140,437.847,405.48022,0.018066471442580223
144,1077.2332,385.12027,0.09090235084295273
148,937.39,481.24088,0.08886907994747162
152,633.214,414.70166,0.04291094094514847
156,744.74585,389.73926,0.01121874526143074
160,471.65256,508.54968,0.02097424492239952
164,952.0688,321.40405,0.017806924879550934
168,728.5681,246.17627,0.022355426102876663
172,657.508,296.66193,0.007249725051224232
176,566.81085,635.0588,0.00808175653219223
180,647.94775,287.10165,0.10790770500898361
184,1009.9342,283.9236,0.27235591411590576
188,970.02795,196.6248,0.047621555626392365
192,985.4662,189.99063,0.10552247613668442
196,1109.6306,292.34937,0.00582466833293438
200,994.56903,282.20282,0.00529977772384882
204,508.71692,466.58224,0.010491477325558662
208,796.20233,331.3316,0.018130220472812653
212,631.2716,412.58087,0.05575868487358093
216,920.6443,165.12234,0.0164377111941576
220,977.44556,161.5758,0.21975043416023254
224,967.57544,161.63544,0.3876461982727051
228,57.69174,524.2754,0.03650761768221855
232,892.5534,164.35858,0.15585719048976898
236,856.1859,479.79535,0.2557288110256195
240,1146.5867,469.57294,0.19885697960853577
244,1003.90704,332.3743,0.3466376066207886
248,981.82043,161.57831,0.3969270884990692
252,1126.5413,172.47684,0.14937813580036163
256,390.8322,389.8566,0.08159847557544708
260,512.27405,384.52124,0.00924970768392086
264,170.2662,260.40298,0.058740001171827316
268,539.3631,401.71832,0.0324007049202919
272,883.9625,536.1302,0.009535586461424828
276,1133.7688,305.9984,0.0019005690701305866
280,994.7456,616.61426,0.0011908244341611862
284,779.16846,546.2699,0.015476183034479618
288,794.17096,548.5728,0.04223048686981201
292,709.28534,304.74384,0.05734550580382347
296,328.15625,418.1561,0.01795273646712303
300,755.92065,582.1323,0.023225605487823486
304,407.90363,358.81604,0.025535890832543373
308,344.4677,500.90045,0.030072813853621483
312,507.82278,386.14197,0.013029373250901699
316,500.74185,366.8441,0.023167327046394348
320,232.98471,478.67328,0.005163998808711767
328,518.79376,385.354,0.02277054823935032
332,520.91626,385.9858,0.005873142275959253
336,517.22876,385.41443,0.009496943093836308
340,519.29694,385.81845,0.017292354255914688
344,206.2568,477.7439,0.00232452224008739
348,1013.17377,337.4342,0.002677945187315345
352,5.6508546,595.2794,0.0011089588515460491
356,944.07825,289.21948,0.007614347152411938
360,743.246,645.69336,0.09807965904474258
364,593.37463,544.822,0.010572419501841068
368,411.94635,487.75958,0.016542654484510422
372,192.44446,502.12024,0.049612805247306824
376,941.85254,412.77914,0.0014696556609123945
380,567.8147,492.16364,0.0028265223372727633
384,682.38525,449.67725,0.09094460308551788
388,878.38916,314.1711,0.005831868853420019
392,596.12744,463.96533,0.007395610213279724
396,580.43445,249.11987,0.024222461506724358
400,506.8459,535.7081,0.01455879956483841
404,799.47314,373.2619,0.014880687929689884
408,630.4237,332.33817,0.146881103515625
412,743.9779,507.088,0.12859265506267548
416,741.7799,516.74744,0.04550452157855034
420,939.71985,379.32184,0.05176442489027977
424,415.35297,368.51447,0.009519873186945915
428,492.82977,330.99475,0.034657008945941925
432,829.4702,449.08853,0.034791551530361176
436,545.4368,341.9035,0.09215477854013443
444,572.0257,684.07764,0.0011257060104981065
448,1008.15454,638.70874,0.0017884252592921257
